Titolo,Tipo,Anno,Stagione,Stagione/Episodio,Nome File,Cartella,Estensione,Dimensione (MB),Disco,Percorso Completo,Data Scansione
Crimson Peak,Film,,,,Crimson Peak HD.mkv,.,.mkv,,Memoria 3,F:\Crimson Peak HD.mkv,2026-08-20
Cruel Intentions,Film,,,,Cruel Intentions HD.mkv,.,.mkv,,Memoria 3,F:\Cruel Intentions HD.mkv,2026-08-20
Daddy's Home,Film,,,,Daddy's Home HD.mkv,.,.mkv,,Memoria 3,F:\Daddy's Home HD.mkv,2026-08-20
Dallas Buyers Club,Film,,,,Dallas Buyers Club HD.mkv,.,.mkv,2737.7,Memoria 1,F:\Film Miei HD\Dallas Buyers Club HD.mkv,2026-08-20
Deadpool,Film,,,,Deadpool HD.mkv,.,.mkv,9370.1,Memoria 2,F:Deadpool HD.mkv,2026-08-20
Deadpool 2,Film,,,,Deadpool 2 HD.mkv,.,.mkv,,Memoria 3,F:\Deadpool 2 HD.mkv,2026-08-20
Death Note,Film,,,,Death Note HD.mkv,.,.mkv,,Memoria 3,F:\Death Note HD.mkv,2026-08-20
Deepwater - Inferno Sull'Oceano,Film,,,,Deepwater - Inferno Sull'Oceano HD.mkv,.,.mkv,,Memoria 3,F:\Deepwater - Inferno Sull'Oceano HD.mkv,2026-08-20
Defiance,Film,,,,Defiance HD.mkv,.,.mkv,10538.5,Memoria 1,F:\Film Miei HD\Defiance HD.mkv,2026-08-20
Demolition - Amare E Vivere,Film,,,,Demolition - Amare E Vivere HD.mkv,.,.mkv,,Memoria 3,F:\Demolition - Amare E Vivere HD.mkv,2026-08-20
Detachment - Il Distacco,Film,,,,Detachment - Il Distacco HD.mkv,.,.mkv,,Memoria 3,F:\Detachment - Il Distacco HD.mkv,2026-08-20
Detroit,Film,,,,Detroit HD.mkv,.,.mkv,,Memoria 3,F:\Detroit HD.mkv,2026-08-20
Dickens - L'Uomo Che Inventò Il Natale,Film,,,,Dickens - L'Uomo Che Inventò Il Natale HD.mkv,.,.mkv,,Memoria 3,F:\Dickens - L'Uomo Che Inventò Il Natale HD.mkv,2026-08-20
Die Hard Trappola Di Cristallo,Film,,,,Die Hard Trappola Di Cristallo HD.mkv,.,.mkv,2242.3,Memoria 1,F:\Film Miei HD\Die Hard Trappola Di Cristallo HD.mkv,2026-08-20
Divergent,Film,,,,Divergent HD.mkv,.,.mkv,9379.9,Memoria 2,F:Divergent HD.mkv,2026-08-20
Django Unchained,Film,,,,Django Unchained HD.mkv,.,.mkv,19634.2,Memoria 1,F:\Film Miei HD\Django Unchained HD.mkv,2026-08-20
Doctor Strange,Film,,,,Doctor Strange HD.mkv,.,.mkv,,Memoria 3,F:\Doctor Strange HD.mkv,2026-08-20
Dogman,Film,,,,Dogman HD.mkv,.,.mkv,,Memoria 3,F:\Dogman HD.mkv,2026-08-20
Don Jon,Film,,,,Don Jon HD.mkv,.,.mkv,5871.3,Memoria 1,F:\Film Miei HD\Don Jon HD.mkv,2026-08-20
Dracula Untold,Film,,,,Dracula Untold HD.mkv,.,.mkv,7984.8,Memoria 1,F:\Film Miei HD\Dracula Untold HD.mkv,2026-08-20
Dumbo,Film,,,,Dumbo HD.mkv,.,.mkv,,Memoria 3,F:\Dumbo HD.mkv,2026-08-20
Dunkirk,Film,,,,Dunkirk HD.mkv,.,.mkv,,Memoria 3,F:\Dunkirk HD.mkv,2026-08-20
E' Solo La Fine Del Mondo,Film,,,,E' Solo La Fine Del Mondo HD.mkv,.,.mkv,,Memoria 3,F:\E' Solo La Fine Del Mondo HD.mkv,2026-08-20
Eddie The Eagle - Il Coraggio Della Follia,Film,,,,Eddie The Eagle - Il Coraggio Della Follia HD.mkv,.,.mkv,,Memoria 3,F:\Eddie The Eagle - Il Coraggio Della Follia HD.mkv,2026-08-20
